DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2025-02-27 09:00,example.pdf,79.80,80.40,79.40,80.90,79.10,81.10,78.70,81.40
2025-02-28 09:00,example.pdf,0.00,0.00,79.60,81.00,79.30,81.20,78.90,81.50
2025-03-10 09:00,example.pdf,80.10,80.70,79.70,81.10,79.40,81.30,79.00,81.60
2025-03-11 09:00,example.pdf,80.05,80.65,79.65,81.05,79.35,81.25,78.95,81.55
2025-03-31 09:00,example.pdf,80.90,81.50,80.50,81.90,80.20,82.10,79.80,82.40
2025-04-15 09:00,example.pdf,81.20,81.80,80.80,82.20,80.50,82.40,80.10,82.70
2025-04-16 09:00,example.pdf,81.15,81.75,80.75,82.15,80.45,82.35,80.05,82.65
2025-05-30 09:00,example.pdf,82.00,82.60,81.60,83.00,81.30,83.20,80.90,83.50
2025-06-20 09:00,example.pdf,82.50,83.10,82.10,83.50,81.80,83.70,81.40,84.00
2025-06-30 09:00,example.pdf,83.00,83.60,82.60,84.00,82.30,84.20,81.90,84.50
2025-07-01 09:00,example.pdf,83.10,83.70,82.70,84.10,82.40,84.30,82.00,84.60
2025-09-30 09:00,example.pdf,84.00,84.60,83.60,85.00,83.30,85.20,82.90,85.50
2025-12-31 09:00,example.pdf,85.00,85.60,84.60,86.00,84.30,86.20,83.90,86.50
